race,num_examples,TPR,FPR,threshold
Other,141,1.0,1.0,0.0
Caucasian,924,1.0,1.0,0.0
African-American,1537,1.0,1.0,0.0
Hispanic,210,1.0,1.0,0.0
Asian,15,1.0,1.0,0.0
Native American,10,1.0,1.0,0.0
Other,141,1.0,1.0,0.01
Caucasian,924,1.0,1.0,0.01
African-American,1537,1.0,1.0,0.01
Hispanic,210,1.0,1.0,0.01
Asian,15,1.0,1.0,0.01
Native American,10,1.0,1.0,0.01
Other,141,1.0,1.0,0.02
Caucasian,924,1.0,1.0,0.02
African-American,1537,1.0,1.0,0.02
Hispanic,210,1.0,1.0,0.02
Asian,15,1.0,1.0,0.02
Native American,10,1.0,1.0,0.02
Other,141,1.0,1.0,0.03
Caucasian,924,1.0,1.0,0.03
African-American,1537,1.0,1.0,0.03
Hispanic,210,1.0,1.0,0.03
Asian,15,1.0,1.0,0.03
Native American,10,1.0,1.0,0.03
Other,141,1.0,1.0,0.04
Caucasian,924,1.0,1.0,0.04
African-American,1537,1.0,1.0,0.04
Hispanic,210,1.0,1.0,0.04
Asian,15,1.0,1.0,0.04
Native American,10,1.0,1.0,0.04
Other,141,1.0,1.0,0.05
Caucasian,924,1.0,1.0,0.05
African-American,1537,1.0,1.0,0.05
Hispanic,210,1.0,1.0,0.05
Asian,15,1.0,1.0,0.05
Native American,10,1.0,1.0,0.05
Other,141,1.0,1.0,0.06
Caucasian,924,1.0,1.0,0.06
African-American,1537,1.0,1.0,0.06
Hispanic,210,1.0,1.0,0.06
Asian,15,1.0,1.0,0.06
Native American,10,1.0,1.0,0.06
Other,141,1.0,1.0,0.07
Caucasian,924,1.0,1.0,0.07
African-American,1537,1.0,1.0,0.07
Hispanic,210,1.0,1.0,0.07
Asian,15,1.0,1.0,0.07
Native American,10,1.0,1.0,0.07
Other,141,1.0,1.0,0.08
Caucasian,924,1.0,1.0,0.08
African-American,1537,1.0,1.0,0.08
Hispanic,210,1.0,1.0,0.08
Asian,15,1.0,1.0,0.08
Native American,10,1.0,1.0,0.08
Other,141,1.0,1.0,0.09
Caucasian,924,1.0,1.0,0.09
African-American,1537,1.0,1.0,0.09
Hispanic,210,1.0,1.0,0.09
Asian,15,1.0,1.0,0.09
Native American,10,1.0,1.0,0.09
Other,141,1.0,1.0,0.1
Caucasian,924,1.0,1.0,0.1
African-American,1537,1.0,1.0,0.1
Hispanic,210,1.0,1.0,0.1
Asian,15,1.0,1.0,0.1
Native American,10,1.0,1.0,0.1
Other,141,1.0,1.0,0.11
Caucasian,924,1.0,1.0,0.11
African-American,1537,1.0,1.0,0.11
Hispanic,210,1.0,1.0,0.11
Asian,15,1.0,1.0,0.11
Native American,10,1.0,1.0,0.11
Other,141,1.0,1.0,0.12
Caucasian,924,1.0,1.0,0.12
African-American,1537,1.0,1.0,0.12
Hispanic,210,1.0,1.0,0.12
Asian,15,1.0,1.0,0.12
Native American,10,1.0,1.0,0.12
Other,141,1.0,1.0,0.13
Caucasian,924,1.0,1.0,0.13
African-American,1537,1.0,1.0,0.13
Hispanic,210,1.0,1.0,0.13
Asian,15,1.0,1.0,0.13
Native American,10,1.0,1.0,0.13
Other,141,1.0,1.0,0.14
Caucasian,924,1.0,1.0,0.14
African-American,1537,1.0,1.0,0.14
Hispanic,210,1.0,1.0,0.14
Asian,15,1.0,1.0,0.14
Native American,10,1.0,1.0,0.14
Other,141,1.0,1.0,0.15
Caucasian,924,1.0,1.0,0.15
African-American,1537,1.0,1.0,0.15
Hispanic,210,1.0,1.0,0.15
Asian,15,1.0,1.0,0.15
Native American,10,1.0,1.0,0.15
Other,141,1.0,1.0,0.16
Caucasian,924,1.0,1.0,0.16
African-American,1537,1.0,1.0,0.16
Hispanic,210,1.0,1.0,0.16
Asian,15,1.0,1.0,0.16
Native American,10,1.0,1.0,0.16
Other,141,1.0,1.0,0.17
Caucasian,924,1.0,1.0,0.17
African-American,1537,1.0,1.0,0.17
Hispanic,210,1.0,1.0,0.17
Asian,15,1.0,1.0,0.17
Native American,10,1.0,1.0,0.17
Other,141,1.0,1.0,0.18
Caucasian,924,1.0,1.0,0.18
African-American,1537,1.0,1.0,0.18
Hispanic,210,1.0,1.0,0.18
Asian,15,1.0,1.0,0.18
Native American,10,1.0,1.0,0.18
Other,141,1.0,1.0,0.19
Caucasian,924,1.0,1.0,0.19
African-American,1537,1.0,1.0,0.19
Hispanic,210,1.0,1.0,0.19
Asian,15,1.0,1.0,0.19
Native American,10,1.0,1.0,0.19
Other,141,1.0,1.0,0.2
Caucasian,924,1.0,1.0,0.2
African-American,1537,1.0,1.0,0.2
Hispanic,210,1.0,1.0,0.2
Asian,15,1.0,1.0,0.2
Native American,10,1.0,1.0,0.2
Other,141,1.0,1.0,0.21
Caucasian,924,1.0,1.0,0.21
African-American,1537,1.0,1.0,0.21
Hispanic,210,1.0,1.0,0.21
Asian,15,1.0,1.0,0.21
Native American,10,1.0,1.0,0.21
Other,141,1.0,1.0,0.22
Caucasian,924,1.0,1.0,0.22
African-American,1537,1.0,1.0,0.22
Hispanic,210,1.0,1.0,0.22
Asian,15,1.0,1.0,0.22
Native American,10,1.0,1.0,0.22
Other,141,1.0,1.0,0.23
Caucasian,924,1.0,1.0,0.23
African-American,1537,1.0,1.0,0.23
Hispanic,210,1.0,1.0,0.23
Asian,15,1.0,1.0,0.23
Native American,10,1.0,1.0,0.23
Other,141,1.0,1.0,0.24
Caucasian,924,1.0,1.0,0.24
African-American,1537,1.0,1.0,0.24
Hispanic,210,1.0,1.0,0.24
Asian,15,1.0,1.0,0.24
Native American,10,1.0,1.0,0.24
Other,141,1.0,1.0,0.25
Caucasian,924,1.0,1.0,0.25
African-American,1537,1.0,1.0,0.25
Hispanic,210,1.0,1.0,0.25
Asian,15,1.0,1.0,0.25
Native American,10,1.0,1.0,0.25
Other,141,1.0,1.0,0.26
Caucasian,924,1.0,1.0,0.26
African-American,1537,1.0,1.0,0.26
Hispanic,210,1.0,1.0,0.26
Asian,15,1.0,1.0,0.26
Native American,10,1.0,1.0,0.26
Other,141,1.0,1.0,0.27
Caucasian,924,1.0,1.0,0.27
African-American,1537,1.0,1.0,0.27
Hispanic,210,1.0,1.0,0.27
Asian,15,1.0,1.0,0.27
Native American,10,1.0,1.0,0.27
Other,141,1.0,1.0,0.28
Caucasian,924,1.0,1.0,0.28
African-American,1537,1.0,1.0,0.28
Hispanic,210,1.0,1.0,0.28
Asian,15,1.0,1.0,0.28
Native American,10,1.0,1.0,0.28
Other,141,1.0,1.0,0.29
Caucasian,924,1.0,1.0,0.29
African-American,1537,1.0,1.0,0.29
Hispanic,210,1.0,1.0,0.29
Asian,15,1.0,1.0,0.29
Native American,10,1.0,1.0,0.29
Other,141,1.0,1.0,0.3
Caucasian,924,1.0,1.0,0.3
African-American,1537,1.0,1.0,0.3
Hispanic,210,1.0,1.0,0.3
Asian,15,1.0,1.0,0.3
Native American,10,1.0,1.0,0.3
Other,141,1.0,1.0,0.31
Caucasian,924,1.0,1.0,0.31
African-American,1537,1.0,1.0,0.31
Hispanic,210,1.0,1.0,0.31
Asian,15,1.0,1.0,0.31
Native American,10,1.0,1.0,0.31
Other,141,1.0,1.0,0.32
Caucasian,924,1.0,1.0,0.32
African-American,1537,1.0,1.0,0.32
Hispanic,210,1.0,1.0,0.32
Asian,15,1.0,1.0,0.32
Native American,10,1.0,1.0,0.32
Other,141,1.0,1.0,0.33
Caucasian,924,1.0,1.0,0.33
African-American,1537,1.0,1.0,0.33
Hispanic,210,1.0,1.0,0.33
Asian,15,1.0,1.0,0.33
Native American,10,1.0,1.0,0.33
Other,141,1.0,1.0,0.34
Caucasian,924,1.0,1.0,0.34
African-American,1537,1.0,1.0,0.34
Hispanic,210,1.0,1.0,0.34
Asian,15,1.0,1.0,0.34
Native American,10,1.0,1.0,0.34
Other,141,1.0,1.0,0.35000000000000003
Caucasian,924,1.0,1.0,0.35000000000000003
African-American,1537,0.9988095238095238,1.0,0.35000000000000003
Hispanic,210,1.0,1.0,0.35000000000000003
Asian,15,1.0,1.0,0.35000000000000003
Native American,10,1.0,1.0,0.35000000000000003
Other,141,1.0,1.0,0.36
Caucasian,924,1.0,1.0,0.36
African-American,1537,0.9988095238095238,1.0,0.36
Hispanic,210,1.0,1.0,0.36
Asian,15,1.0,1.0,0.36
Native American,10,1.0,1.0,0.36
Other,141,1.0,0.9891304347826086,0.37
Caucasian,924,1.0,1.0,0.37
African-American,1537,0.9988095238095238,1.0,0.37
Hispanic,210,1.0,1.0,0.37
Asian,15,1.0,1.0,0.37
Native American,10,1.0,1.0,0.37
Other,141,1.0,0.9891304347826086,0.38
Caucasian,924,1.0,0.998003992015968,0.38
African-American,1537,0.9988095238095238,0.9985652797704447,0.38
Hispanic,210,1.0,1.0,0.38
Asian,15,1.0,1.0,0.38
Native American,10,1.0,1.0,0.38
Other,141,1.0,0.9891304347826086,0.39
Caucasian,924,1.0,0.9940119760479041,0.39
African-American,1537,0.9976190476190476,0.9985652797704447,0.39
Hispanic,210,1.0,1.0,0.39
Asian,15,1.0,1.0,0.39
Native American,10,1.0,1.0,0.39
Other,141,1.0,0.9891304347826086,0.4
Caucasian,924,0.9976359338061466,0.9920159680638723,0.4
African-American,1537,0.9976190476190476,0.9956958393113343,0.4
Hispanic,210,1.0,1.0,0.4
Asian,15,1.0,1.0,0.4
Native American,10,1.0,1.0,0.4
Other,141,1.0,0.9891304347826086,0.41000000000000003
Caucasian,924,0.9976359338061466,0.9820359281437125,0.41000000000000003
African-American,1537,0.9976190476190476,0.994261119081779,0.41000000000000003
Hispanic,210,1.0,1.0,0.41000000000000003
Asian,15,1.0,1.0,0.41000000000000003
Native American,10,1.0,1.0,0.41000000000000003
Other,141,1.0,0.9782608695652174,0.42
Caucasian,924,0.9929078014184397,0.9740518962075848,0.42
African-American,1537,0.9940476190476191,0.9870875179340028,0.42
Hispanic,210,1.0,1.0,0.42
Asian,15,1.0,1.0,0.42
Native American,10,1.0,1.0,0.42
Other,141,1.0,0.9565217391304348,0.43
Caucasian,924,0.966903073286052,0.9461077844311377,0.43
African-American,1537,0.9892857142857143,0.9655667144906743,0.43
Hispanic,210,1.0,0.9624060150375939,0.43
Asian,15,1.0,0.9166666666666666,0.43
Native American,10,1.0,1.0,0.43
