race,num_examples,TPR,FPR,threshold
Other,161,1.0,1.0,0.1
Caucasian,1172,1.0,0.9969742813918305,0.1
African-American,1867,0.9990176817288802,0.9976442873969376,0.1
Hispanic,277,1.0,1.0,0.1
Asian,16,1.0,1.0,0.1
Native American,7,1.0,1.0,0.1
Other,161,0.9836065573770492,0.88,0.2
Caucasian,1172,0.9784735812133072,0.8653555219364599,0.2
African-American,1867,0.9941060903732809,0.9705535924617197,0.2
Hispanic,277,0.9651162790697675,0.8952879581151832,0.2
Asian,16,1.0,0.8181818181818182,0.2
Native American,7,1.0,1.0,0.2
Other,161,0.8852459016393442,0.63,0.30000000000000004
Caucasian,1172,0.8688845401174168,0.6565809379727685,0.30000000000000004
African-American,1867,0.9607072691552063,0.8610129564193169,0.30000000000000004
Hispanic,277,0.872093023255814,0.6335078534031413,0.30000000000000004
Asian,16,1.0,0.6363636363636364,0.30000000000000004
Native American,7,1.0,0.75,0.30000000000000004
Other,161,0.6065573770491803,0.36,0.4
Caucasian,1172,0.700587084148728,0.39636913767019666,0.4
African-American,1867,0.8742632612966601,0.6760895170789164,0.4
Hispanic,277,0.6627906976744186,0.36649214659685864,0.4
Asian,16,0.6,0.18181818181818182,0.4
Native American,7,1.0,0.75,0.4
Other,161,0.3114754098360656,0.21,0.5
Caucasian,1172,0.47162426614481406,0.19818456883509833,0.5
African-American,1867,0.7229862475442044,0.41460541813898705,0.5
Hispanic,277,0.47674418604651164,0.13612565445026178,0.5
Asian,16,0.6,0.18181818181818182,0.5
Native American,7,1.0,0.75,0.5
Other,161,0.11475409836065574,0.04,0.6000000000000001
Caucasian,1172,0.2583170254403131,0.06656580937972768,0.6000000000000001
African-American,1867,0.4960707269155206,0.22850412249705537,0.6000000000000001
Hispanic,277,0.26744186046511625,0.04712041884816754,0.6000000000000001
Asian,16,0.4,0.0,0.6000000000000001
Native American,7,0.6666666666666666,0.25,0.6000000000000001
Other,161,0.01639344262295082,0.01,0.7000000000000001
Caucasian,1172,0.12133072407045009,0.015128593040847202,0.7000000000000001
African-American,1867,0.2868369351669941,0.10600706713780919,0.7000000000000001
Hispanic,277,0.09302325581395349,0.010471204188481676,0.7000000000000001
Asian,16,0.0,0.0,0.7000000000000001
Native American,7,0.3333333333333333,0.0,0.7000000000000001
Other,161,0.0,0.0,0.8
Caucasian,1172,0.019569471624266144,0.0030257186081694403,0.8
African-American,1867,0.11984282907662082,0.04004711425206125,0.8
Hispanic,277,0.023255813953488372,0.0,0.8
Asian,16,0.0,0.0,0.8
Native American,7,0.3333333333333333,0.0,0.8
Other,161,0.0,0.0,0.9
Caucasian,1172,0.0,0.0015128593040847202,0.9
African-American,1867,0.0206286836935167,0.008244994110718492,0.9
Hispanic,277,0.0,0.0,0.9
Asian,16,0.0,0.0,0.9
Native American,7,0.3333333333333333,0.0,0.9
