sex,age,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,decile_score,is_recid,jail_time
Male,32,Caucasian,9,0,0,0,7,1,117.76666666666667
Male,22,African-American,3,0,0,0,7,1,25.2
Female,42,Caucasian,0,0,0,0,8,0,20.466666666666665
Male,25,Caucasian,1,0,0,0,3,0,15.033333333333333
Female,25,African-American,0,0,0,0,5,0,1061.5833333333333
Male,25,Hispanic,9,0,0,0,8,0,7557.633333333333
Male,27,African-American,2,0,0,0,5,1,360.4
Male,29,African-American,1,0,0,0,2,1,47.416666666666664
Male,26,African-American,5,0,0,1,7,1,531.2833333333333
Male,55,Caucasian,0,0,0,0,1,0,15.316666666666666
Female,21,African-American,0,0,0,0,5,1,21.866666666666667
Male,31,African-American,12,1,1,1,9,1,6984.9
Female,27,African-American,3,0,0,1,6,1,55.45
Male,21,Hispanic,1,0,0,1,5,1,47.4
Male,37,Caucasian,3,0,0,0,8,0,5807.85
Male,36,African-American,7,0,0,0,10,0,157.0
Male,55,Caucasian,3,0,0,0,7,1,864.3
Male,28,African-American,8,0,0,0,8,1,71.91666666666667
Male,29,African-American,5,0,0,0,5,1,52.6
Male,31,African-American,1,0,0,0,3,0,25.633333333333333
Male,63,African-American,8,0,0,0,6,0,97.18333333333334
Male,22,Caucasian,2,1,0,0,4,0,31.283333333333335
Female,50,Caucasian,7,0,0,0,1,1,190.0
Male,26,African-American,4,0,0,0,7,1,46.483333333333334
Male,53,African-American,1,0,0,0,8,0,8736.333333333334
Female,27,African-American,3,0,0,0,7,0,23.633333333333333
Male,26,Caucasian,7,0,1,0,8,0,1267.7
Female,30,African-American,8,0,0,0,7,1,1084.75
Male,30,Hispanic,1,0,0,0,2,1,-11.216666666666667
Male,25,African-American,3,0,1,1,8,1,9.5
Female,32,African-American,1,0,0,0,1,0,19.516666666666666
Female,20,African-American,0,0,0,1,7,1,25.033333333333335
Male,30,African-American,9,0,1,0,7,1,192.81666666666666
Male,31,African-American,6,0,0,0,10,1,20.033333333333335
Male,26,African-American,0,0,0,0,2,0,71.2
Female,24,African-American,4,0,0,0,3,1,51.766666666666666
Male,32,Caucasian,2,0,0,0,2,0,21.233333333333334
Male,24,Hispanic,6,1,0,0,10,1,5252.116666666667
Male,20,African-American,1,1,0,0,10,1,4489.233333333334
Male,29,African-American,10,0,0,0,10,1,2608.85
Male,41,African-American,16,2,0,0,7,1,-2.6
Female,25,Caucasian,0,0,0,0,3,0,19.166666666666668
Female,24,African-American,2,0,0,0,4,0,174.48333333333332
Male,33,African-American,7,0,0,0,6,1,20.2
Male,53,African-American,5,0,0,0,4,0,7147.416666666667
Male,23,Caucasian,5,0,2,1,10,1,305.78333333333336
Male,63,African-American,10,0,0,0,7,1,860.05
