race,num_examples,TPR,FPR,threshold
Other,2334,0.4555921052631579,0.19051878354203935,0.1
Caucasian,503,0.45054945054945056,0.1588785046728972,0.1
African-American,141,0.4897959183673469,0.18478260869565216,0.1
Hispanic,924,0.4491725768321513,0.18363273453093812,0.1
Asian,1537,0.45,0.18794835007173602,0.1
Native American,210,0.4805194805194805,0.18045112781954886,0.1
Other,2334,0.4555921052631579,0.19051878354203935,0.2
Caucasian,503,0.45054945054945056,0.1588785046728972,0.2
African-American,141,0.4897959183673469,0.18478260869565216,0.2
Hispanic,924,0.4491725768321513,0.18363273453093812,0.2
Asian,1537,0.45,0.18794835007173602,0.2
Native American,210,0.4805194805194805,0.18045112781954886,0.2
Other,2334,0.4555921052631579,0.19051878354203935,0.30000000000000004
Caucasian,503,0.45054945054945056,0.1588785046728972,0.30000000000000004
African-American,141,0.4897959183673469,0.18478260869565216,0.30000000000000004
Hispanic,924,0.4491725768321513,0.18363273453093812,0.30000000000000004
Asian,1537,0.45,0.18794835007173602,0.30000000000000004
Native American,210,0.4805194805194805,0.18045112781954886,0.30000000000000004
Other,2334,0.4555921052631579,0.19051878354203935,0.4
Caucasian,503,0.45054945054945056,0.1588785046728972,0.4
African-American,141,0.4897959183673469,0.18478260869565216,0.4
Hispanic,924,0.4491725768321513,0.18363273453093812,0.4
Asian,1537,0.45,0.18794835007173602,0.4
Native American,210,0.4805194805194805,0.18045112781954886,0.4
Other,2334,0.4555921052631579,0.19051878354203935,0.5
Caucasian,503,0.45054945054945056,0.1588785046728972,0.5
African-American,141,0.4897959183673469,0.18478260869565216,0.5
Hispanic,924,0.4491725768321513,0.18363273453093812,0.5
Asian,1537,0.45,0.18794835007173602,0.5
Native American,210,0.4805194805194805,0.18045112781954886,0.5
Other,2334,0.4555921052631579,0.19051878354203935,0.6
Caucasian,503,0.45054945054945056,0.1588785046728972,0.6
African-American,141,0.4897959183673469,0.18478260869565216,0.6
Hispanic,924,0.4491725768321513,0.18363273453093812,0.6
Asian,1537,0.45,0.18794835007173602,0.6
Native American,210,0.4805194805194805,0.18045112781954886,0.6
Other,2334,0.4555921052631579,0.19051878354203935,0.7000000000000001
Caucasian,503,0.45054945054945056,0.1588785046728972,0.7000000000000001
African-American,141,0.4897959183673469,0.18478260869565216,0.7000000000000001
Hispanic,924,0.4491725768321513,0.18363273453093812,0.7000000000000001
Asian,1537,0.45,0.18794835007173602,0.7000000000000001
Native American,210,0.4805194805194805,0.18045112781954886,0.7000000000000001
Other,2334,0.4555921052631579,0.19051878354203935,0.8
Caucasian,503,0.45054945054945056,0.1588785046728972,0.8
African-American,141,0.4897959183673469,0.18478260869565216,0.8
Hispanic,924,0.4491725768321513,0.18363273453093812,0.8
Asian,1537,0.45,0.18794835007173602,0.8
Native American,210,0.4805194805194805,0.18045112781954886,0.8
Other,2334,0.4555921052631579,0.19051878354203935,0.9
Caucasian,503,0.45054945054945056,0.1588785046728972,0.9
African-American,141,0.4897959183673469,0.18478260869565216,0.9
Hispanic,924,0.4491725768321513,0.18363273453093812,0.9
Asian,1537,0.45,0.18794835007173602,0.9
Native American,210,0.4805194805194805,0.18045112781954886,0.9
