race,num_examples,TPR,FPR,threshold
Other,2886,1.0,1.0,0.01
Caucasian,629,1.0,1.0,0.01
African-American,174,1.0,1.0,0.01
Hispanic,1186,1.0,1.0,0.01
Asian,1873,1.0,1.0,0.01
Native American,262,1.0,1.0,0.01
Other,2886,1.0,1.0,0.02
Caucasian,629,1.0,1.0,0.02
African-American,174,1.0,1.0,0.02
Hispanic,1186,1.0,1.0,0.02
Asian,1873,1.0,1.0,0.02
Native American,262,1.0,1.0,0.02
Other,2886,1.0,1.0,0.03
Caucasian,629,1.0,1.0,0.03
African-American,174,1.0,1.0,0.03
Hispanic,1186,1.0,1.0,0.03
Asian,1873,1.0,1.0,0.03
Native American,262,1.0,1.0,0.03
Other,2886,1.0,1.0,0.04
Caucasian,629,1.0,1.0,0.04
African-American,174,1.0,1.0,0.04
Hispanic,1186,1.0,1.0,0.04
Asian,1873,1.0,1.0,0.04
Native American,262,1.0,1.0,0.04
Other,2886,1.0,1.0,0.05
Caucasian,629,1.0,1.0,0.05
African-American,174,1.0,1.0,0.05
Hispanic,1186,1.0,1.0,0.05
Asian,1873,1.0,1.0,0.05
Native American,262,1.0,1.0,0.05
Other,2886,1.0,1.0,0.060000000000000005
Caucasian,629,1.0,1.0,0.060000000000000005
African-American,174,1.0,1.0,0.060000000000000005
Hispanic,1186,1.0,1.0,0.060000000000000005
Asian,1873,1.0,1.0,0.060000000000000005
Native American,262,1.0,1.0,0.060000000000000005
Other,2886,1.0,1.0,0.06999999999999999
Caucasian,629,1.0,1.0,0.06999999999999999
African-American,174,1.0,1.0,0.06999999999999999
Hispanic,1186,1.0,1.0,0.06999999999999999
Asian,1873,1.0,1.0,0.06999999999999999
Native American,262,1.0,1.0,0.06999999999999999
Other,2886,1.0,1.0,0.08
Caucasian,629,1.0,1.0,0.08
African-American,174,1.0,1.0,0.08
Hispanic,1186,1.0,1.0,0.08
Asian,1873,1.0,1.0,0.08
Native American,262,1.0,1.0,0.08
Other,2886,1.0,0.9992932862190813,0.09
Caucasian,629,1.0,1.0,0.09
African-American,174,1.0,1.0,0.09
Hispanic,1186,1.0,1.0,0.09
Asian,1873,1.0,1.0,0.09
Native American,262,1.0,1.0,0.09
Other,2886,1.0,0.9992932862190813,0.09999999999999999
Caucasian,629,1.0,1.0,0.09999999999999999
African-American,174,1.0,1.0,0.09999999999999999
Hispanic,1186,1.0,1.0,0.09999999999999999
Asian,1873,1.0,1.0,0.09999999999999999
Native American,262,1.0,1.0,0.09999999999999999
Other,2886,1.0,0.9971731448763251,0.11
Caucasian,629,1.0,0.9972972972972973,0.11
African-American,174,1.0,0.9911504424778761,0.11
Hispanic,1186,1.0,1.0,0.11
Asian,1873,1.0,0.9987878787878788,0.11
Native American,262,1.0,0.9883040935672515,0.11
Other,2886,1.0,0.9971731448763251,0.12
Caucasian,629,1.0,0.9891891891891892,0.12
African-American,174,1.0,0.9911504424778761,0.12
Hispanic,1186,1.0,0.9984939759036144,0.12
Asian,1873,1.0,0.9987878787878788,0.12
Native American,262,1.0,0.9766081871345029,0.12
Other,2886,1.0,0.9957597173144876,0.13
Caucasian,629,0.9845559845559846,0.9648648648648649,0.13
African-American,174,0.9836065573770492,0.9911504424778761,0.13
Hispanic,1186,1.0,0.9879518072289156,0.13
Asian,1873,0.9980916030534351,0.9963636363636363,0.13
Native American,262,0.989010989010989,0.9649122807017544,0.13
Other,2886,1.0,0.9893992932862191,0.14
Caucasian,629,0.9806949806949807,0.9594594594594594,0.14
African-American,174,0.9836065573770492,0.9734513274336283,0.14
Hispanic,1186,1.0,0.9789156626506024,0.14
Asian,1873,0.9980916030534351,0.9939393939393939,0.14
Native American,262,0.978021978021978,0.9590643274853801,0.14
Other,2886,0.9979605710401088,0.984452296819788,0.15000000000000002
Caucasian,629,0.9768339768339769,0.9378378378378378,0.15000000000000002
African-American,174,0.9836065573770492,0.9557522123893806,0.15000000000000002
Hispanic,1186,0.9961685823754789,0.9653614457831325,0.15000000000000002
Asian,1873,0.9961832061068703,0.9927272727272727,0.15000000000000002
Native American,262,0.978021978021978,0.9415204678362573,0.15000000000000002
Other,2886,0.9979605710401088,0.9809187279151943,0.16
Caucasian,629,0.972972972972973,0.9135135135135135,0.16
African-American,174,0.9836065573770492,0.9469026548672567,0.16
Hispanic,1186,0.9961685823754789,0.9578313253012049,0.16
Asian,1873,0.9961832061068703,0.9878787878787879,0.16
Native American,262,0.967032967032967,0.9181286549707602,0.16
Other,2886,0.9972807613868117,0.9731448763250884,0.17
Caucasian,629,0.9691119691119691,0.8864864864864865,0.17
African-American,174,0.9836065573770492,0.9292035398230089,0.17
Hispanic,1186,0.9923371647509579,0.9352409638554217,0.17
Asian,1873,0.9961832061068703,0.9854545454545455,0.17
Native American,262,0.967032967032967,0.9064327485380117,0.17
Other,2886,0.9972807613868117,0.9611307420494699,0.18000000000000002
Caucasian,629,0.9613899613899614,0.8648648648648649,0.18000000000000002
African-American,174,0.9836065573770492,0.8761061946902655,0.18000000000000002
Hispanic,1186,0.9904214559386973,0.9246987951807228,0.18000000000000002
Asian,1873,0.9952290076335878,0.9781818181818182,0.18000000000000002
Native American,262,0.967032967032967,0.8713450292397661,0.18000000000000002
Other,2886,0.9952413324269205,0.950530035335689,0.19
Caucasian,629,0.9459459459459459,0.8432432432432433,0.19
African-American,174,0.9836065573770492,0.8584070796460177,0.19
Hispanic,1186,0.9885057471264368,0.9081325301204819,0.19
Asian,1873,0.9933206106870229,0.9745454545454545,0.19
Native American,262,0.9230769230769231,0.8304093567251462,0.19
Other,2886,0.9925220938137321,0.9363957597173145,0.2
Caucasian,629,0.9343629343629344,0.827027027027027,0.2
African-American,174,0.9836065573770492,0.8230088495575221,0.2
Hispanic,1186,0.9808429118773946,0.8870481927710844,0.2
Asian,1873,0.9904580152671756,0.9696969696969697,0.2
Native American,262,0.9230769230769231,0.8128654970760234,0.2
Other,2886,0.9857239972807614,0.9229681978798586,0.21000000000000002
Caucasian,629,0.918918918918919,0.8162162162162162,0.21000000000000002
African-American,174,0.9672131147540983,0.8141592920353983,0.21000000000000002
Hispanic,1186,0.9655172413793104,0.8719879518072289,0.21000000000000002
Asian,1873,0.9895038167938931,0.9636363636363636,0.21000000000000002
Native American,262,0.8791208791208791,0.7719298245614035,0.21000000000000002
Other,2886,0.9843643779741672,0.9088339222614841,0.22
Caucasian,629,0.9034749034749034,0.7918918918918919,0.22
African-American,174,0.9508196721311475,0.7964601769911505,0.22
Hispanic,1186,0.9559386973180076,0.8539156626506024,0.22
Asian,1873,0.9895038167938931,0.9515151515151515,0.22
Native American,262,0.8791208791208791,0.7485380116959064,0.22
Other,2886,0.9809653297076818,0.8904593639575972,0.23
Caucasian,629,0.8996138996138996,0.7756756756756756,0.23
African-American,174,0.9508196721311475,0.7699115044247787,0.23
Hispanic,1186,0.9482758620689655,0.8298192771084337,0.23
Asian,1873,0.9885496183206107,0.9418181818181818,0.23
Native American,262,0.8681318681318682,0.7192982456140351,0.23
