sex,age,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,decile_score,is_recid,jail_time
Male,23,African-American,0,0,0,0,2,0,25.066666666666666
Male,41,African-American,18,2,0,0,10,1,815.6166666666667
Male,31,African-American,1,0,0,0,3,1,5516.366666666667
Male,51,Caucasian,3,0,0,0,2,0,2066.0833333333335
Male,26,African-American,7,0,0,0,6,0,27.333333333333332
Male,23,Hispanic,2,0,0,0,4,0,551.4833333333333
Female,34,African-American,14,0,0,0,9,0,93.85
Male,22,Caucasian,1,0,0,3,5,1,29.166666666666668
Male,23,Hispanic,0,0,0,0,2,0,23.033333333333335
Female,24,Other,1,0,0,0,2,0,24.516666666666666
Female,28,Caucasian,0,0,0,0,2,0,17.65
Male,28,Caucasian,1,0,0,0,7,1,740.3166666666667
Male,30,African-American,14,0,0,0,6,1,550.6
Male,27,African-American,1,0,0,0,5,0,2690.2833333333333
Male,24,Caucasian,8,0,0,0,4,1,21.05
Male,42,African-American,1,0,0,0,1,0,44.4
Male,32,Hispanic,1,0,0,0,1,0,0.36666666666666664
Male,33,African-American,21,0,0,0,7,1,147.36666666666667
Female,26,African-American,1,0,0,0,5,0,42.13333333333333
Male,50,African-American,0,0,0,0,1,0,48.516666666666666
Male,30,African-American,2,0,0,0,5,1,24.383333333333333
Male,23,Caucasian,2,0,0,0,6,0,191.9
Female,30,African-American,0,0,0,0,5,1,23.966666666666665
Female,36,African-American,13,0,0,0,9,1,798.8
Male,23,African-American,3,0,1,0,5,1,145.18333333333334
Female,43,African-American,5,1,0,0,10,0,10540.233333333334
Male,28,Caucasian,7,0,0,0,10,0,7772.666666666667
Female,31,African-American,5,0,0,0,6,0,241.46666666666667
Male,37,Hispanic,2,0,0,0,1,1,25.15
Male,25,Caucasian,0,0,0,0,5,1,53.583333333333336
Male,27,African-American,21,0,0,0,7,1,840.5666666666667
Female,47,Caucasian,1,0,0,0,1,1,342.3
Male,28,Caucasian,0,0,0,0,2,1,21.3
Female,34,Caucasian,12,0,0,0,10,1,73.3
Male,23,African-American,2,1,0,0,9,1,25.083333333333332
Male,34,African-American,8,0,0,0,7,1,26.716666666666665
Male,44,Caucasian,1,0,0,0,1,0,23.633333333333333
